"fid,N,10,0","c_Degrees,N,24,15",xcoord,ycoord,EM_h_K_12,EM_h_K_25,EM_h_KA_25,EM_h_KA_125,NSIDC_F17_37HA,NSIDC_F17_19HD,NSIDC_F16_19HA,NSIDC_F16_37HA,NSIDC_F16_19HD,NSIDC_F16_37HD,NSIDC_F17_19HA,NSIDC_F15_19HD
0.00000,0.00000,-60.77511,-37.27456,262.48471,266.39258,263.52524,262.68320,0.00000,257.26999,260.88000,264.66000,257.64999,258.72998,0.00000,260.47998
0.00000,0.00250,-60.77261,-37.27456,262.48471,266.39258,263.52524,262.68320,0.00000,257.26999,260.88000,264.66000,257.64999,258.72998,0.00000,260.47998
0.00000,0.00500,-60.77011,-37.27456,262.48471,266.39258,263.52524,262.68320,0.00000,257.26999,260.88000,264.66000,257.64999,258.72998,0.00000,260.47998
0.00000,0.00750,-60.76761,-37.27456,262.48471,266.39258,263.52524,262.68320,0.00000,257.26999,260.88000,264.66000,257.64999,258.72998,0.00000,260.47998
0.00000,0.01000,-60.76511,-37.27456,262.48471,266.39258,263.52524,262.68320,0.00000,257.26999,260.88000,264.66000,257.64999,258.72998,0.00000,260.47998
0.00000,0.01250,-60.76261,-37.27456,262.48471,266.39258,263.52524,262.68320,0.00000,257.26999,260.88000,264.66000,257.64999,258.72998,0.00000,260.47998
0.00000,0.01500,-60.76011,-37.27456,262.48471,266.39258,263.52524,262.68320,0.00000,257.26999,260.88000,264.66000,257.64999,258.72998,0.00000,260.47998
0.00000,0.01750,-60.75761,-37.27456,262.48471,266.39258,263.52524,262.68320,0.00000,257.26999,260.88000,264.66000,257.64999,258.72998,0.00000,260.47998
0.00000,0.02000,-60.75511,-37.27456,262.48471,266.39258,263.52524,262.68320,0.00000,257.26999,260.88000,264.66000,257.64999,258.72998,0.00000,260.47998
0.00000,0.02250,-60.75261,-37.27456,262.48471,266.39258,263.52524,262.68320,0.00000,257.26999,260.88000,264.66000,257.64999,258.72998,0.00000,260.47998
0.00000,0.02500,-60.75011,-37.27456,262.48471,266.39258,263.52524,262.68320,0.00000,257.26999,260.88000,264.66000,257.64999,258.72998,0.00000,260.47998
0.00000,0.02750,-60.74761,-37.27456,262.48471,266.39258,263.52524,262.68320,0.00000,257.26999,260.88000,264.66000,257.64999,258.72998,0.00000,260.47998
0.00000,0.03000,-60.74511,-37.27456,262.48471,266.39258,263.52524,262.68320,0.00000,257.26999,260.88000,264.66000,257.64999,258.72998,0.00000,260.47998
0.00000,0.03250,-60.74261,-37.27456,262.48471,266.39258,263.52524,262.68320,0.00000,257.26999,260.88000,264.66000,257.64999,258.72998,0.00000,260.47998
0.00000,0.03500,-60.74011,-37.27456,262.48471,266.39258,263.52524,262.68320,0.00000,257.26999,260.88000,264.66000,257.64999,258.72998,0.00000,260.47998
0.00000,0.03750,-60.73761,-37.27456,262.48471,266.39258,263.52524,262.68320,0.00000,257.26999,260.88000,264.66000,257.64999,258.72998,0.00000,260.47998
0.00000,0.04000,-60.73511,-37.27456,262.48471,266.39258,263.52524,262.68320,0.00000,257.26999,260.88000,264.66000,257.64999,258.72998,0.00000,260.47998
0.00000,0.04250,-60.73261,-37.27456,262.48471,266.39258,263.52524,262.68320,0.00000,257.26999,260.88000,264.66000,257.64999,258.72998,0.00000,260.47998
0.00000,0.04500,-60.73011,-37.27456,262.48471,266.39258,263.52524,262.68320,0.00000,257.26999,260.88000,264.66000,257.64999,258.72998,0.00000,260.47998
0.00000,0.04750,-60.72761,-37.27456,262.48471,266.39258,263.52524,262.68320,0.00000,257.26999,260.88000,264.66000,257.64999,258.72998,0.00000,260.47998
0.00000,0.05000,-60.72511,-37.27456,262.48471,266.39258,263.52524,262.68320,0.00000,257.26999,260.88000,264.66000,257.64999,258.72998,0.00000,260.47998
0.00000,0.05250,-60.72261,-37.27456,262.48471,266.39258,263.52524,262.68320,0.00000,257.26999,260.88000,264.66000,257.64999,258.72998,0.00000,260.47998
0.00000,0.05500,-60.72011,-37.27456,262.48471,266.39258,263.52524,262.68320,0.00000,257.26999,260.88000,264.66000,257.64999,258.72998,0.00000,260.47998
0.00000,0.05750,-60.71761,-37.27456,262.48471,266.39258,263.52524,262.68320,0.00000,257.26999,260.88000,264.66000,257.64999,258.72998,0.00000,260.47998
0.00000,0.06000,-60.71511,-37.27456,262.48471,266.39258,263.52524,262.68320,0.00000,257.26999,260.88000,264.66000,257.64999,258.72998,0.00000,260.47998
0.00000,0.06250,-60.71261,-37.27456,262.48471,266.39258,263.52524,262.68320,0.00000,257.26999,260.88000,264.66000,257.64999,258.72998,0.00000,260.47998
0.00000,0.06500,-60.71011,-37.27456,262.48471,266.39258,263.52524,262.68320,0.00000,257.26999,260.88000,264.66000,257.64999,258.72998,0.00000,260.47998
0.00000,0.06750,-60.70761,-37.27456,262.48471,266.39258,263.52524,262.68320,0.00000,257.26999,260.88000,264.66000,257.64999,258.72998,0.00000,260.47998
0.00000,0.07000,-60.70511,-37.27456,262.48471,266.39258,263.52524,262.68320,0.00000,257.26999,260.88000,264.66000,257.64999,258.72998,0.00000,260.47998
0.00000,0.07250,-60.70261,-37.27456,262.48471,266.39258,263.52524,262.68320,0.00000,257.26999,260.88000,264.66000,257.64999,258.72998,0.00000,260.47998
0.00000,0.07500,-60.70011,-37.27456,262.48471,266.39258,263.52524,262.68320,0.00000,257.26999,260.88000,264.66000,257.64999,258.72998,0.00000,260.47998
0.00000,0.07750,-60.69761,-37.27456,262.48471,266.39258,263.52524,262.68320,0.00000,257.26999,260.88000,264.66000,257.64999,258.72998,0.00000,260.47998
0.00000,0.08000,-60.69511,-37.27456,262.48471,266.39258,263.52524,262.68320,0.00000,257.26999,260.88000,264.66000,257.64999,258.72998,0.00000,260.47998
0.00000,0.08250,-60.69261,-37.27456,262.48471,266.39258,263.52524,262.68320,0.00000,257.26999,260.88000,264.66000,257.64999,258.72998,0.00000,260.47998
0.00000,0.08500,-60.69011,-37.27456,262.48471,266.39258,263.52524,262.68320,0.00000,257.26999,260.88000,264.66000,257.64999,258.72998,0.00000,260.47998
0.00000,0.08750,-60.68761,-37.27456,262.48471,266.39258,263.52524,262.68320,0.00000,257.26999,260.88000,264.66000,257.64999,258.72998,0.00000,260.47998
