"fid,N,10,0","c_Degrees,N,24,15","xcoord,N,24,15","ycoord,N,24,15","EM_HK_1250,N,21,5","2516_19HA,N,21,5","2515_19HD,N,21,5","31251837HD,N,21,5","2516_19HD,N,21,5","6251819HD,N,21,5","EM_HKA_125,N,21,5","31251537HD,N,21,5","2517_19HD,N,21,5","2517_19HA,N,21,5","6251619HD,N,21,5","EM_HK_2500,N,21,5","6251619HA,N,21,5","EM_HKA_250,N,21,5","6251519HD,N,21,5","6251719HA,N,21,5","6251719HD,N,21,5","2516_37HA,N,21,5","2516_37HD,N,21,5","31251637HD,N,21,5","31251637HA,N,21,5","2517_37HA,N,21,5","31251737HD,N,21,5","31251737HA,N,21,5"
0.0000,0.0000,-60.7751,-37.2746,262.4847,260.8800,260.4800,262.6000,257.6500,261.7700,262.6832,260.5700,257.2700,0.0000,258.9700,266.3926,262.2700,263.5252,260.4900,261.7800,257.6600,264.6600,258.7300,259.0100,265.0400,0.0000,259.5700,263.8400
0.0000,0.0025,-60.7726,-37.2746,262.4847,260.8800,260.4800,262.6000,257.6500,261.7700,262.6832,260.5700,257.2700,0.0000,258.9700,266.3926,262.2700,263.5252,260.4900,261.7800,257.6600,264.6600,258.7300,259.0100,265.0400,0.0000,259.5700,263.8400
0.0000,0.0050,-60.7701,-37.2746,262.4847,260.8800,260.4800,262.6000,257.6500,261.7700,262.6832,260.5700,257.2700,0.0000,258.9700,266.3926,262.2700,263.5252,260.4900,261.7800,257.6600,264.6600,258.7300,259.0100,265.0400,0.0000,259.5700,263.8400
0.0000,0.0075,-60.7676,-37.2746,262.4847,260.8800,260.4800,262.6000,257.6500,261.7700,262.6832,260.5700,257.2700,0.0000,258.9700,266.3926,262.2700,263.5252,260.4900,261.7800,257.6600,264.6600,258.7300,259.0100,265.0400,0.0000,259.5700,263.8400
0.0000,0.0100,-60.7651,-37.2746,262.4847,260.8800,260.4800,262.6000,257.6500,261.7700,262.6832,260.5700,257.2700,0.0000,258.9700,266.3926,262.2700,263.5252,260.4900,261.7800,257.6600,264.6600,258.7300,259.0100,265.0400,0.0000,259.5700,263.8400
0.0000,0.0125,-60.7626,-37.2746,262.4847,260.8800,260.4800,262.6000,257.6500,261.7700,262.6832,260.5700,257.2700,0.0000,258.9700,266.3926,262.2700,263.5252,260.4900,261.7800,257.6600,264.6600,258.7300,259.0100,265.0400,0.0000,259.5700,263.8400
0.0000,0.0150,-60.7601,-37.2746,262.4847,260.8800,260.4800,262.6000,257.6500,261.7700,262.6832,260.5700,257.2700,0.0000,258.9700,266.3926,262.2700,263.5252,260.4900,261.7800,257.6600,264.6600,258.7300,259.0100,265.0400,0.0000,259.5700,263.8400
0.0000,0.0175,-60.7576,-37.2746,262.4847,260.8800,260.4800,262.6000,257.6500,261.7700,262.6832,260.5700,257.2700,0.0000,258.9700,266.3926,262.2700,263.5252,260.4900,261.7800,257.6600,264.6600,258.7300,259.0100,265.0400,0.0000,259.5700,263.8400
0.0000,0.0200,-60.7551,-37.2746,262.4847,260.8800,260.4800,262.6000,257.6500,261.7700,262.6832,260.5700,257.2700,0.0000,258.9700,266.3926,262.2700,263.5252,260.4900,261.7800,257.6600,264.6600,258.7300,259.0100,265.0400,0.0000,259.5700,263.8400
0.0000,0.0225,-60.7526,-37.2746,262.4847,260.8800,260.4800,262.6000,257.6500,261.7700,262.6832,260.5700,257.2700,0.0000,258.9700,266.3926,262.2700,263.5252,260.4900,261.7800,257.6600,264.6600,258.7300,259.0100,265.0400,0.0000,259.5700,263.8400
0.0000,0.0250,-60.7501,-37.2746,262.4847,260.8800,260.4800,262.3800,257.6500,261.7700,262.6832,260.5300,257.2700,0.0000,258.9700,266.3926,262.2700,263.5252,260.4900,261.7800,257.6600,264.6600,258.7300,258.9600,265.0800,0.0000,259.6900,263.8900
0.0000,0.0275,-60.7476,-37.2746,262.4847,260.8800,260.4800,262.3800,257.6500,261.7700,262.6832,260.5300,257.2700,0.0000,258.9700,266.3926,262.2700,263.5252,260.4900,261.7800,257.6600,264.6600,258.7300,258.9600,265.0800,0.0000,259.6900,263.8900
0.0000,0.0300,-60.7451,-37.2746,262.4847,260.8800,260.4800,262.3800,257.6500,261.5000,262.6832,260.5300,257.2700,0.0000,259.0200,266.3926,261.9300,263.5252,260.5000,261.6600,257.9700,264.6600,258.7300,258.9600,265.0800,0.0000,259.6900,263.8900
0.0000,0.0325,-60.7426,-37.2746,262.4847,260.8800,260.4800,262.3800,257.6500,261.5000,262.6832,260.5300,257.2700,0.0000,259.0200,266.3926,261.9300,263.5252,260.5000,261.6600,257.9700,264.6600,258.7300,258.9600,265.0800,0.0000,259.6900,263.8900
0.0000,0.0350,-60.7401,-37.2746,262.4847,260.8800,260.4800,262.3800,257.6500,261.5000,262.6832,260.5300,257.2700,0.0000,259.0200,266.3926,261.9300,263.5252,260.5000,261.6600,257.9700,264.6600,258.7300,258.9600,265.0800,0.0000,259.6900,263.8900
0.0000,0.0375,-60.7376,-37.2746,262.4847,260.8800,260.4800,262.3800,257.6500,261.5000,262.6832,260.5300,257.2700,0.0000,259.0200,266.3926,261.9300,263.5252,260.5000,261.6600,257.9700,264.6600,258.7300,258.9600,265.0800,0.0000,259.6900,263.8900
0.0000,0.0400,-60.7351,-37.2746,262.4847,260.8800,260.4800,262.3800,257.6500,261.5000,262.6832,260.5300,257.2700,0.0000,259.0200,266.3926,261.9300,263.5252,260.5000,261.6600,257.9700,264.6600,258.7300,258.9600,265.0800,0.0000,259.6900,263.8900
0.0000,0.0425,-60.7326,-37.2746,262.4847,260.8800,260.4800,262.3800,257.6500,261.5000,262.6832,260.5300,257.2700,0.0000,259.0200,266.3926,261.9300,263.5252,260.5000,261.6600,257.9700,264.6600,258.7300,258.9600,265.0800,0.0000,259.6900,263.8900
0.0000,0.0450,-60.7301,-37.2746,262.4847,260.8800,260.4800,262.3800,257.6500,261.5000,262.6832,260.5300,257.2700,0.0000,259.0200,266.3926,261.9300,263.5252,260.5000,261.6600,257.9700,264.6600,258.7300,258.9600,265.0800,0.0000,259.6900,263.8900
0.0000,0.0475,-60.7276,-37.2746,262.4847,260.8800,260.4800,262.3800,257.6500,261.5000,262.6832,260.5300,257.2700,0.0000,259.0200,266.3926,261.9300,263.5252,260.5000,261.6600,257.9700,264.6600,258.7300,258.9600,265.0800,0.0000,259.6900,263.8900
0.0000,0.0500,-60.7251,-37.2746,262.4847,260.8800,260.4800,262.3800,257.6500,261.5000,262.6832,260.5300,257.2700,0.0000,259.0200,266.3926,261.9300,263.5252,260.5000,261.6600,257.9700,264.6600,258.7300,258.9600,265.0800,0.0000,259.6900,263.8900
