deg,EM_H_KA_25,EM_H_K_25,EM_H_KA_12,F16_19HD,EM_H_KU_12,EM_H_KU_25,F16_37HD,EM_H_K_12
0,0,0,0,0,0,0,0,0
0.0025,0,0,0,0,0,0,0,0
0.005,0,0,0,0,0,0,0,0
0.0075,0,0,0,0,0,0,0,0
0.01,0,0,0,0,0,0,0,0
0.0125,0,0,0,0,0,0,0,0
0.015,0,0,0,0,0,0,0,0
0.0175,0,0,0,0,0,0,0,0
0.02,0,0,0,0,0,0,0,0
0.0225,0,0,0,0,0,0,0,0
0.025,0,0,0,0,0,0,0,0
0.0275,0,0,0,0,0,0,0,0
0.03,0,0,0,0,0,0,0,0
0.0325,0,0,0,0,0,0,0,0
0.035,249.08015,249.67101,249.93008,0,255.45329,244.32874,0,257.86319
0.0375,249.08015,249.67101,249.93008,0,255.45329,244.32874,0,257.86319
0.04,249.08015,249.67101,249.93008,0,255.45329,244.32874,0,257.86319
0.0425,249.08015,249.67101,249.93008,0,255.45329,244.32874,0,257.86319
0.045,249.08015,249.67101,249.93008,0,255.45329,244.32874,0,257.86319
0.0475,249.08015,249.67101,249.93008,0,255.45329,244.32874,0,257.86319
0.05,249.08015,249.67101,249.93008,0,255.45329,244.32874,0,257.86319
0.0525,249.08015,249.67101,249.93008,0,255.45329,244.32874,0,257.86319
0.055,249.08015,249.67101,249.93008,0,255.45329,244.32874,0,257.86319
0.0575,249.08015,249.67101,249.93008,0,255.45329,244.32874,0,257.86319
0.06,249.08015,249.67101,249.93008,0,255.45329,244.32874,0,257.86319
0.0625,249.08015,249.67101,249.93008,0,255.45329,244.32874,0,257.86319
0.065,249.08015,249.67101,249.93008,0,255.45329,244.32874,0,257.86319
0.0675,249.08015,249.67101,249.93008,0,255.45329,244.32874,0,257.86319
0.07,249.08015,249.67101,249.93008,0,255.45329,244.32874,0,257.86319
0.0725,249.08015,249.67101,249.93008,0,255.45329,244.32874,0,257.86319
0.075,249.08015,249.67101,249.93008,0,255.45329,244.32874,0,257.86319
0.0775,249.08015,249.67101,249.93008,0,255.45329,244.32874,0,257.86319
0.08,249.08015,249.67101,249.93008,0,255.45329,244.32874,0,257.86319
0.0825,249.08015,249.67101,249.93008,0,255.45329,244.32874,0,257.86319
0.085,249.08015,249.67101,249.93008,0,255.45329,244.32874,0,257.86319
0.0875,249.08015,249.67101,249.93008,0,255.45329,244.32874,0,257.86319
0.09,249.08015,249.67101,249.93008,0,255.45329,244.32874,0,257.86319
0.0925,249.08015,249.67101,249.93008,0,255.45329,244.32874,0,257.86319
0.095,249.08015,249.67101,249.93008,0,255.45329,244.32874,0,257.86319
0.0975,249.08015,249.67101,249.93008,245.73,255.45329,244.32874,248.08,257.86319
0.1,249.08015,249.67101,249.93008,245.73,255.45329,244.32874,248.08,257.86319
0.1025,249.08015,249.67101,249.93008,245.73,255.45329,244.32874,248.08,257.86319
0.105,249.08015,249.67101,249.93008,245.73,255.45329,244.32874,248.08,257.86319
0.1075,249.08015,249.67101,249.93008,245.73,255.45329,244.32874,248.08,257.86319
0.11,249.08015,249.67101,249.93008,245.73,255.45329,244.32874,248.08,257.86319
0.1125,249.08015,249.67101,249.93008,245.73,255.45329,244.32874,248.08,257.86319
0.115,249.08015,249.67101,249.93008,245.73,255.45329,244.32874,248.08,257.86319
0.1175,249.08015,249.67101,249.93008,245.73,255.45329,244.32874,248.08,257.86319
0.12,249.08015,249.67101,249.93008,245.73,255.45329,244.32874,248.08,257.86319
0.1225,249.08015,249.67101,249.93008,245.73,255.45329,244.32874,248.08,257.86319
0.125,249.08015,249.67101,249.93008,245.73,255.45329,244.32874,248.08,257.86319
0.1275,249.08015,249.67101,249.93008,245.73,255.45329,244.32874,248.08,257.86319
0.13,249.08015,249.67101,249.93008,245.73,255.45329,244.32874,248.08,257.86319
0.1325,249.08015,249.67101,249.93008,245.73,255.45329,244.32874,248.08,257.86319
0.135,249.08015,249.67101,249.93008,245.73,255.45329,244.32874,248.08,257.86319
0.1375,249.08015,249.67101,249.93008,245.73,255.45329,244.32874,248.08,257.86319
0.14,249.08015,249.67101,249.93008,245.73,255.45329,244.32874,248.08,257.86319
0.1425,249.08015,249.67101,249.93008,245.73,255.45329,244.32874,248.08,257.86319
0.145,249.08015,249.67101,249.93008,245.73,255.45329,244.32874,248.08,257.86319
0.1475,249.08015,249.67101,249.93008,245.73,255.45329,244.32874,248.08,257.86319
0.15,249.08015,249.67101,245.26767,245.73,234.81122,244.32874,248.08,245.95773
0.1525,249.08015,249.67101,245.26767,245.73,234.81122,244.32874,248.08,245.95773
0.155,249.08015,249.67101,245.26767,245.73,234.81122,244.32874,248.08,245.95773
0.1575,249.08015,249.67101,245.26767,245.73,234.81122,244.32874,248.08,245.95773
0.16,249.08015,249.67101,245.26767,245.73,234.81122,244.32874,248.08,245.95773
0.1625,249.08015,249.67101,245.26767,245.73,234.81122,244.32874,248.08,245.95773
0.165,249.08015,249.67101,245.26767,245.73,234.81122,244.32874,248.08,245.95773
0.1675,249.08015,249.67101,245.26767,245.73,234.81122,244.32874,248.08,245.95773
0.17,249.08015,249.67101,245.26767,245.73,234.81122,244.32874,248.08,245.95773
0.1725,249.08015,249.67101,245.26767,245.73,234.81122,244.32874,248.08,245.95773
0.175,249.08015,249.67101,245.26767,245.73,234.81122,244.32874,248.08,245.95773
0.1775,249.08015,249.67101,245.26767,245.73,234.81122,244.32874,248.08,245.95773
0.18,249.08015,249.67101,245.26767,245.73,234.81122,244.32874,248.08,245.95773
0.1825,249.08015,249.67101,245.26767,245.73,234.81122,244.32874,248.08,245.95773
0.185,249.08015,249.67101,245.26767,245.73,234.81122,244.32874,248.08,245.95773
0.1875,249.08015,249.67101,245.26767,245.73,234.81122,244.32874,248.08,245.95773
0.19,249.08015,249.67101,245.26767,245.73,234.81122,244.32874,248.08,245.95773
