deg,EM_H_KA_25,EM_H_K_25,EM_H_KA_12,F16_19HD,EM_H_KU_12,EM_H_KU_25,F16_37HD,EM_H_K_12,xcoord,ycoord
0,263.52524,266.39258,262.6832,257.64999,262.65149,263.55954,258.72998,262.48471,-60.775105,-37.274563
0.0025,263.52524,266.39258,262.6832,257.64999,262.65149,263.55954,258.72998,262.48471,-60.772605,-37.274563
0.005,263.52524,266.39258,262.6832,257.64999,262.65149,263.55954,258.72998,262.48471,-60.770105,-37.274563
0.0075,263.52524,266.39258,262.6832,257.64999,262.65149,263.55954,258.72998,262.48471,-60.767605,-37.274563
0.01,263.52524,266.39258,262.6832,257.64999,262.65149,263.55954,258.72998,262.48471,-60.765105,-37.274563
0.0125,263.52524,266.39258,262.6832,257.64999,262.65149,263.55954,258.72998,262.48471,-60.762605,-37.274563
0.015,263.52524,266.39258,262.6832,257.64999,262.65149,263.55954,258.72998,262.48471,-60.760105,-37.274563
0.0175,263.52524,266.39258,262.6832,257.64999,262.65149,263.55954,258.72998,262.48471,-60.757605,-37.274563
0.02,263.52524,266.39258,262.6832,257.64999,262.65149,263.55954,258.72998,262.48471,-60.755105,-37.274563
0.0225,263.52524,266.39258,262.6832,257.64999,262.65149,263.55954,258.72998,262.48471,-60.752605,-37.274563
0.025,263.52524,266.39258,262.6832,257.64999,262.65149,263.55954,258.72998,262.48471,-60.750105,-37.274563
0.0275,263.52524,266.39258,262.6832,257.64999,262.65149,263.55954,258.72998,262.48471,-60.747605,-37.274563
0.03,263.52524,266.39258,262.6832,257.64999,262.65149,263.55954,258.72998,262.48471,-60.745105,-37.274563
0.0325,263.52524,266.39258,262.6832,257.64999,262.65149,263.55954,258.72998,262.48471,-60.742605,-37.274563
0.035,263.52524,266.39258,262.6832,257.64999,262.65149,263.55954,258.72998,262.48471,-60.740105,-37.274563
0.0375,263.52524,266.39258,262.6832,257.64999,262.65149,263.55954,258.72998,262.48471,-60.737605,-37.274563
0.04,263.52524,266.39258,262.6832,257.64999,262.65149,263.55954,258.72998,262.48471,-60.735105,-37.274563
0.0425,263.52524,266.39258,262.6832,257.64999,262.65149,263.55954,258.72998,262.48471,-60.732605,-37.274563
0.045,263.52524,266.39258,262.6832,257.64999,262.65149,263.55954,258.72998,262.48471,-60.730105,-37.274563
0.0475,263.52524,266.39258,262.6832,257.64999,262.65149,263.55954,258.72998,262.48471,-60.727605,-37.274563
0.05,263.52524,266.39258,262.6832,257.64999,262.65149,263.55954,258.72998,262.48471,-60.725105,-37.274563
0.0525,263.52524,266.39258,262.6832,257.64999,262.65149,263.55954,258.72998,262.48471,-60.722605,-37.274563
0.055,263.52524,266.39258,262.6832,257.64999,262.65149,263.55954,258.72998,262.48471,-60.720105,-37.274563
0.0575,263.52524,266.39258,262.6832,257.64999,262.65149,263.55954,258.72998,262.48471,-60.717605,-37.274563
0.06,263.52524,266.39258,262.6832,257.64999,262.65149,263.55954,258.72998,262.48471,-60.715105,-37.274563
