deg,EM_H_KA_25,EM_H_K_25,EM_H_KA_12,F16_19HD,EM_H_KU_12,EM_H_KU_25,F16_37HD,EM_H_K_12,xcoord,ycoord
0,247.18839,247.63008,237.61703,240.84,234.00009,241.01324,245.43999,246.78479,-60.655835,-35.737459
0.0025,247.18839,247.63008,237.61703,240.84,234.00009,241.01324,245.43999,246.78479,-60.653428,-35.736783
0.005,247.18839,247.63008,237.61703,240.98,234.00009,241.01324,246.00999,246.78479,-60.651021,-35.736106
0.0075,247.18839,247.63008,237.61703,240.98,234.00009,241.01324,246.00999,246.78479,-60.648615,-35.73543
0.01,247.18839,247.63008,237.61703,240.98,234.00009,241.01324,246.00999,246.78479,-60.646208,-35.734753
0.0125,247.18839,247.63008,237.61703,240.98,234.00009,241.01324,246.00999,246.78479,-60.643801,-35.734077
0.015,247.18839,247.63008,237.61703,240.98,234.00009,241.01324,246.00999,246.78479,-60.641394,-35.7334
0.0175,247.18839,247.63008,237.61703,240.98,234.00009,241.01324,246.00999,246.78479,-60.638988,-35.732724
0.02,247.18839,247.63008,237.61703,240.98,234.00009,241.01324,246.00999,246.78479,-60.636581,-35.732047
0.0225,247.18839,247.63008,237.61703,240.98,234.00009,241.01324,246.00999,246.78479,-60.634174,-35.731371
0.025,247.18839,247.63008,237.61703,240.98,234.00009,241.01324,246.00999,246.78479,-60.631768,-35.730694
0.0275,247.18839,247.63008,237.61703,240.98,234.00009,241.01324,246.00999,246.78479,-60.629361,-35.730018
0.03,247.18839,247.63008,237.61703,240.98,234.00009,241.01324,246.00999,246.78479,-60.626954,-35.729341
0.0325,247.18839,247.63008,237.61703,240.98,234.00009,241.01324,246.00999,246.78479,-60.624547,-35.728665
0.035,247.18839,247.63008,237.61703,240.98,234.00009,241.01324,246.00999,246.78479,-60.622141,-35.727988
0.0375,247.18839,247.63008,237.61703,240.98,234.00009,241.01324,246.00999,246.78479,-60.619734,-35.727312
0.04,247.18839,247.63008,237.61703,240.98,234.00009,241.01324,246.00999,246.78479,-60.617327,-35.726635
0.0425,247.18839,247.63008,237.61703,240.98,234.00009,241.01324,246.00999,246.78479,-60.614921,-35.725958
0.045,247.18839,247.63008,237.61703,240.98,234.00009,241.01324,246.00999,246.78479,-60.612514,-35.725282
0.0475,247.18839,247.63008,237.61703,240.98,234.00009,241.01324,246.00999,246.78479,-60.610107,-35.724605
0.05,247.18839,247.63008,237.61703,240.98,234.00009,241.01324,246.00999,246.78479,-60.6077,-35.723929
0.0525,247.18839,247.63008,237.61703,240.98,234.00009,241.01324,246.00999,246.78479,-60.605294,-35.723252
0.055,247.18839,247.63008,237.61703,240.98,234.00009,241.01324,246.00999,246.78479,-60.602887,-35.722576
0.0575,247.18839,247.63008,237.61703,240.98,234.00009,241.01324,246.00999,246.78479,-60.60048,-35.721899
0.06,247.18839,247.63008,237.61703,240.98,234.00009,241.01324,246.00999,246.78479,-60.598073,-35.721223
0.0625,247.18839,247.63008,237.61703,240.98,234.00009,241.01324,246.00999,246.78479,-60.595667,-35.720546
0.065,247.18839,247.63008,237.61703,240.98,234.00009,241.01324,246.00999,246.78479,-60.59326,-35.71987
0.0675,247.18839,247.63008,237.61703,240.98,234.00009,241.01324,246.00999,246.78479,-60.590853,-35.719193
0.07,247.18839,247.63008,237.61703,240.98,234.00009,241.01324,246.00999,246.78479,-60.588447,-35.718517
0.0725,247.18839,247.63008,237.61703,240.98,234.00009,241.01324,246.00999,246.78479,-60.58604,-35.71784
0.075,247.18839,247.63008,237.61703,240.98,234.00009,241.01324,246.00999,246.78479,-60.583633,-35.717164
0.0775,247.18839,247.63008,237.61703,240.98,234.00009,241.01324,246.00999,246.78479,-60.581226,-35.716487
0.08,247.18839,247.63008,237.61703,240.98,234.00009,241.01324,246.00999,246.78479,-60.57882,-35.715811
0.0825,247.18839,247.63008,247.81952,240.98,237.52867,241.01324,246.00999,243.47539,-60.576413,-35.715134
0.085,247.18839,247.63008,247.81952,240.98,237.52867,241.01324,246.00999,243.47539,-60.574006,-35.714458
0.0875,247.18839,247.63008,247.81952,240.98,237.52867,241.01324,246.00999,243.47539,-60.5716,-35.713781
0.09,247.18839,247.63008,247.81952,240.98,237.52867,241.01324,246.00999,243.47539,-60.569193,-35.713104
0.0925,247.18839,247.63008,247.81952,240.98,237.52867,241.01324,246.00999,243.47539,-60.566786,-35.712428
0.095,247.18839,247.63008,247.81952,240.98,237.52867,241.01324,246.00999,243.47539,-60.564379,-35.711751
0.0975,247.18839,247.63008,247.81952,240.98,237.52867,241.01324,246.00999,243.47539,-60.561973,-35.711075
0.1,247.18839,247.63008,247.81952,240.98,237.52867,241.01324,246.00999,243.47539,-60.559566,-35.710398
0.1025,247.18839,247.63008,247.81952,240.98,237.52867,241.01324,246.00999,243.47539,-60.557159,-35.709722
0.105,247.18839,247.63008,247.81952,240.98,237.52867,241.01324,246.00999,243.47539,-60.554752,-35.709045
0.1075,247.18839,247.63008,247.81952,240.98,237.52867,241.01324,246.00999,243.47539,-60.552346,-35.708369
0.11,247.18839,247.63008,247.81952,240.98,237.52867,241.01324,246.00999,243.47539,-60.549939,-35.707692
0.1125,247.18839,247.63008,247.81952,240.98,237.52867,241.01324,246.00999,243.47539,-60.547532,-35.707016
0.115,247.18839,247.63008,247.81952,240.98,237.52867,241.01324,246.00999,243.47539,-60.545126,-35.706339
0.1175,247.18839,247.63008,247.81952,240.98,237.52867,241.01324,246.00999,243.47539,-60.542719,-35.705663
0.12,247.18839,247.63008,247.81952,240.98,237.52867,241.01324,246.00999,243.47539,-60.540312,-35.704986
0.1225,247.18839,247.63008,247.81952,240.98,237.52867,241.01324,246.00999,243.47539,-60.537905,-35.70431
0.125,247.18839,247.63008,247.81952,240.98,237.52867,241.01324,246.00999,243.47539,-60.535499,-35.703633
